Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C80,22pF,C_0402_1005Metric,358.25,-112.75,-90,bottom
C81,22pF,C_0402_1005Metric,357,-112.75,-90,bottom
C82,47uF,CP_EIA-3216-10_Kemet-I,363.25,-84,90,bottom
C83,10uF,C_0805_2012Metric,354.722,-128,0,bottom
C84,10uF,C_0805_2012Metric,358.532,-128,0,bottom
C85,1uF,C_0402_1005Metric,353.25,-100.5,90,bottom
C86,1uF,C_0402_1005Metric,352.25,-100.5,90,bottom
C87,0.1uF,C_0402_1005Metric,353.75,-112.75,-90,bottom
C88,0.1uF,C_0402_1005Metric,357.25,-100.5,90,bottom
C89,100nF,C_0402_1005Metric,367.5,-90.75,180,bottom
C90,0.1uF,C_0402_1005Metric,350.25,-108,180,bottom
C91,0.1uF,C_0402_1005Metric,351.25,-100.5,90,bottom
C92,0.1uF,C_0402_1005Metric,355,-112.75,-90,bottom
C93,0.1uF,C_0402_1005Metric,362.5,-107.75,0,bottom
C94,0.1uF,C_0402_1005Metric,362.5,-103.75,0,bottom
C95,0.1uF,C_0402_1005Metric,356.25,-100.5,90,bottom
C96,0.1uF,C_0402_1005Metric,351,-103,90,bottom
C97,10uF,C_0805_2012Metric,352.25,-97.5,0,bottom
D1,D,SOD-123,66.675,-86.915625,90,bottom
D2,D,SOD-123,70.246875,-97.63125,-90,bottom
D3,D,SOD-123,72.628125,-116.68125,-90,bottom
D4,D,SOD-123,85.725,-135.73125,-90,bottom
D5,D,SOD-123,67.865625,-154.78125,-90,bottom
D6,D,SOD-123,85.709375,-86.915625,90,bottom
D7,D,SOD-123,94.059375,-97.63125,-90,bottom
D10,D,SOD-123,104.775,-86.915625,90,bottom
D11,D,SOD-123,113.109375,-97.63125,-90,bottom
D12,D,SOD-123,98.821875,-116.68125,-90,bottom
D14,D,SOD-123,94.115625,-154.78125,-90,bottom
D15,D,SOD-123,123.825,-86.915625,90,bottom
D16,D,SOD-123,132.159375,-97.63125,-90,bottom
D17,D,SOD-123,101.203125,-116.68125,-90,bottom
D18,D,SOD-123,108.346875,-135.73125,-90,bottom
D19,D,SOD-123,142.875,-86.915625,90,bottom
D20,D,SOD-123,151.209375,-97.63125,-90,bottom
D21,D,SOD-123,136.921875,-116.68125,-90,bottom
D22,D,SOD-123,127.396875,-135.73125,-90,bottom
D23,D,SOD-123,187.365625,-154.78125,-90,bottom
D24,D,SOD-123,161.925,-86.915625,90,bottom
D25,D,SOD-123,170.259375,-97.63125,-90,bottom
D26,D,SOD-123,155.971875,-116.68125,-90,bottom
D27,D,SOD-123,146.446875,-135.73125,-90,bottom
D28,D,SOD-123,180.975,-86.915625,90,bottom
D29,D,SOD-123,189.309375,-97.63125,-90,bottom
D30,D,SOD-123,175.021875,-116.68125,-90,bottom
D31,D,SOD-123,165.496875,-135.73125,-90,bottom
D32,D,SOD-123,200.025,-86.915625,90,bottom
D33,D,SOD-123,208.359375,-97.63125,-90,bottom
D34,D,SOD-123,194.071875,-116.68125,-90,bottom
D35,D,SOD-123,184.546875,-135.73125,-90,bottom
D36,D,SOD-123,219.15,-86.915625,90,bottom
D37,D,SOD-123,227.409375,-97.63125,-90,bottom
D38,D,SOD-123,213.121875,-116.68125,-90,bottom
D39,D,SOD-123,203.596875,-135.73125,-90,bottom
D40,D,SOD-123,238.125,-86.915625,90,bottom
D41,D,SOD-123,246.459375,-97.63125,-90,bottom
D42,D,SOD-123,232.171875,-116.68125,-90,bottom
D43,D,SOD-123,222.646875,-135.73125,-90,bottom
D45,D,SOD-123,257.175,-86.915625,90,bottom
D46,D,SOD-123,265.509375,-97.63125,-90,bottom
D47,D,SOD-123,251.221875,-116.68125,-90,bottom
D48,D,SOD-123,241.696875,-135.73125,-90,bottom
D49,D,SOD-123,265.509375,-154.78125,-90,bottom
D50,D,SOD-123,276.225,-86.915625,90,bottom
D51,D,SOD-123,286.940625,-97.63125,-90,bottom
D52,D,SOD-123,270.271875,-116.68125,-90,bottom
D53,D,SOD-123,260.746875,-135.73125,-90,bottom
D54,D,SOD-123,284.559375,-154.78125,-90,bottom
D55,D,SOD-123,295.275,-86.915625,90,bottom
D56,D,SOD-123,310.75,-97.63125,-90,bottom
D57,D,SOD-123,279.796875,-135.73125,-90,bottom
D58,D,SOD-123,332.184375,-154.78125,-90,bottom
D60,D,SOD-123,334.565625,-86.915625,90,bottom
D61,D,SOD-123,328.6125,-116.68125,-90,bottom
D62,D,SOD-123,323.85,-135.73125,-90,bottom
D63,D,SOD-123,351.234375,-154.78125,-90,bottom
D64,D,SOD-123,334.565625,-135.73125,-90,bottom
D65,D,SOD-123,332.184375,-86.915625,90,bottom
D66,D,SOD-123,332.184375,-97.63125,-90,bottom
D70,D,SOD-123,272.653125,-116.68125,-90,bottom
D72,D,SOD-123,233.3625,-154.78125,-90,bottom
D73,D,SOD-123,115.490625,-154.78125,-90,bottom
D74,D,SOD-123,161.925,-154.78125,-90,bottom
D77,D,SOD-123,305.990625,-154.78125,-90,bottom
D132,D,SOD-123,334.565625,-97.63125,-90,bottom
D133,D,SOD-123,334.565625,-116.68125,-90,bottom
D134,D,SOD-123,353.915625,-154.78125,-90,bottom
F1,1A,Fuse_0805_2012Metric,361,-84,90,bottom
J2,USB C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,357.1875,-74.44,0,bottom
R1,5.1k,R_0402_1005Metric,363.5,-76.25,90,bottom
R2,5.1k,R_0402_1005Metric,350.75,-76.25,90,bottom
R10,22R,R_0402_1005Metric,355.25,-100.5,90,bottom
R11,22R,R_0402_1005Metric,354.25,-100.5,90,bottom
R12,1k,R_0402_1005Metric,356,-112.75,-90,bottom
R13,1k,R_0402_1005Metric,368.25,-102.75,90,bottom
R14,100k,R_0402_1005Metric,367,-102.75,90,bottom
SW65,RESET,SW_SPST_SKQG_WithStem,356.5,-133,180,bottom
U2,USBLC6-2SC6,SOT-23-6,357.7,-84,90,bottom
U4,AMS1117-3.3,SOT-223-3_TabPin2,356.5,-121.75,90,bottom
U5,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,356.25,-106.75,180,bottom
U6,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,366.25,-96.25,90,bottom
Y2,12MHz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,361,-113.75,0,bottom
